type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_416907625028840	416907625028840_1340833705969556	https://www.facebook.com/416907625028840/posts/1340833705969556	Minas Gerais é o maior exportador de joias e bijuterias do país! Para consolidar esta posição  o Governo do Estado fomenta a cadeia produtiva da moda e direciona ações a grandes e pequenos empreendedores  especialmente no interior. https://goo.gl/SJHPzi  Só para lembrar  esse segmento emprega 127 mil pessoas e é responsável por 34 8% das exportações mineiras.   #Codemig #Investimentos #JoiasEBijuterias   Foto: Antônio Mattos	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14720380_1340833705969556_8576185534720700432_n.png?oh=1b78cf65273cf3563eee562636fcfe4e&oe=590C55CF	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14720380_1340833705969556_8576185534720700432_n.png?oh=fd3924aff77d701995929b1dbc28994f&oe=5900BEDA	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1340833705969556/?type=3	facebook.com	2016-10-21T21:00:00+0000	1477083600	2016-10-21 23:00:00	25	21	25	3	49	17	17	0	39	0	24	0	0	0	0	0	0
photo	post_page_416907625028840	416907625028840_1340866015966325	https://www.facebook.com/416907625028840/posts/1340866015966325	A região de Muriaé  no território Mata  é responsável pelos melhores grãos de café do estado e do Brasil. E de lá  foram anunciados os vencedores do 15º Concurso Regional de Qualidade do Café das Matas de Minas. O concurso  que garante premiação em três categorias  tem o apoio da Emater-MG. Conheça os vencedores: https://goo.gl/sWnvXK  #Cafés #Muriaé #EmaterMG   Foto: Divulgação / Emater MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14702309_1340866015966325_6080759124319686352_n.png?oh=677449522dd50429f2743cd320ce3212&oe=5941306D	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14702309_1340866015966325_6080759124319686352_n.png?oh=fe6132cef5c0149b61b79a765fe7cead&oe=59038E78	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1340866015966325/?type=3	facebook.com	2016-10-21T18:00:00+0000	1477072800	2016-10-21 20:00:00	21	33	24	6	63	27	27	0	90	0	20	1	2	0	0	0	0
photo	post_page_416907625028840	416907625028840_1340676522651941	https://www.facebook.com/416907625028840/posts/1340676522651941	A produção agroecológica cresce em Minas Gerais! (y)  Com incentivo da Emater-MG  por meio do Programa Agroecologia  97 novas unidades de cultivo sem o uso de agrotóxicos ou adubos químicos foram identificadas no estado. O objetivo é conscientizar e capacitar agricultores familiares para o plantio sustentável  a preservação da biodiversidade e a geração de renda e qualidade de vida. Confira https://goo.gl/mKKGMq  #Agroecologia #EmaterMG   Foto: Omar Freire / Imprensa MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14725757_1340676522651941_4118633069544376196_n.jpg?oh=93860335d8fbc7debab60b1453785325&oe=58FE4A91	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14725757_1340676522651941_4118633069544376196_n.jpg?oh=178ae1642311c642fc1ae1d51030f575&oe=59415084	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1340676522651941/?type=3	facebook.com	2016-10-21T14:00:00+0000	1477058400	2016-10-21 16:00:00	24	16	25	5	46	12	12	0	20	0	23	0	0	0	0	1	0
photo	post_page_416907625028840	416907625028840_1339868609399399	https://www.facebook.com/416907625028840/posts/1339868609399399	O que acontece quando alunos da Fundação João Pinheiro resolvem integrar projetos de tecnologia às ações governamentais? Eles criam ferramentas e processos como a ‘Junto’  uma plataforma digital que propõe caminhos inovadores  para a condução eficiente das políticas públicas em Minas Gerais. Gostou? Conheça essa iniciativa: https://goo.gl/9dq2kR  #fjp #inovação #gestão   Foto: Divulgação / FJP	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14670596_1339868609399399_6306465639593455262_n.jpg?oh=9b0adb5f2379f6bd245fb0fcd4176ccb&oe=59443431	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14670596_1339868609399399_6306465639593455262_n.jpg?oh=ba03ceb0747908e0ab48aa0758088dee&oe=58FDCE24	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1339868609399399/?type=3	facebook.com	2016-10-20T21:15:00+0000	1476998100	2016-10-20 23:15:00	27	18	27	1	46	12	12	0	23	0	26	0	0	0	0	0	0
photo	post_page_416907625028840	416907625028840_1339852616067665	https://www.facebook.com/416907625028840/posts/1339852616067665	Você sabia que existe em Minas Gerais um sistema de avaliação e equidade da Educação?   Idealizado para acompanhar o desempenho dos estudantes mineiros do Ensino Fundamental e Médio  o sistema conta com dois programas específicos: #Proalfa e #Proeb. Ao todo  951 mil estudantes da rede estadual e das redes municipais de ensino irão participar dos testes entre os dias 24 e 28 de outubro. Confira: https://goo.gl/DJ07ek  #EducaçãoMG #Avaliação #Ensino	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14568231_1339852616067665_6778007030965686415_n.png?oh=654f2d279e7dc284d3e765e475879ff8&oe=594470FD	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14568231_1339852616067665_6778007030965686415_n.png?oh=1ba75be2259984448e61f97978e4850f&oe=591870E8	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1339852616067665/?type=3	facebook.com	2016-10-20T18:00:03+0000	1476986403	2016-10-20 20:00:03	12	21	13	7	41	15	15	0	24	0	11	0	0	0	1	0	0
photo	post_page_416907625028840	416907625028840_1339735332746060	https://www.facebook.com/416907625028840/posts/1339735332746060	Minas Gerais está bem representada na 1ª Feira Brasil Original.   O evento  em São Paulo  é uma das mais importantes vitrines do artesanato nacional. São 23 artesãos mineiros representando o trabalho de aproximadamente 250 artistas das diversas regiões do estado. A expectativa é que mais de 5.000 peças sejam comercializadas na feira. Confira: https://goo.gl/9Lyqcr  Foto: Cíntia Rezende	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14724359_1339735332746060_5173993403740265977_n.png?oh=602c3ad674160b3a6f91e9c3cda6c117&oe=5944DC83	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14724359_1339735332746060_5173993403740265977_n.png?oh=ccaafad4f3b3bf8b7993f1e218acf4e3&oe=590CB996	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1339735332746060/?type=3	facebook.com	2016-10-20T14:30:00+0000	1476973800	2016-10-20 16:30:00	14	20	15	1	36	11	11	0	20	0	13	0	1	0	0	0	0
photo	post_page_416907625028840	416907625028840_1338845899501670	https://www.facebook.com/416907625028840/posts/1338845899501670	Estão convocados a atualizar informações cadastrais todos os servidores aposentados ou em afastamento preliminar à aposentadoria e os pensionistas especiais do Governo de Minas Gerais. Confira a lista de documentos necessários ao recadastramento e compareça à agência bancária onde recebe o pagamento para apresentar a documentação: https://goo.gl/dwTtLV  #FazendaMG #Recadastro #Aposentados	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14671240_1338845899501670_3560863497223899493_n.png?oh=c51fb36ddb1ad47806e02f48612f0bb0&oe=5913E128	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14671240_1338845899501670_3560863497223899493_n.png?oh=93c7db5e32b70a4e2cffface7fb08b8a&oe=5947823D	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1338845899501670/?type=3	facebook.com	2016-10-19T20:00:00+0000	1476907200	2016-10-19 22:00:00	11	22	11	5	38	14	14	0	15	0	10	0	0	0	0	0	0
photo	post_page_416907625028840	416907625028840_1338752286177698	https://www.facebook.com/416907625028840/posts/1338752286177698	Governo de Mina Gerais fortalece parcerias com o Poder Judiciário para gerar economia ao Estado! ;) Audiências judiciais  antes realizadas no Fórum de Betim  agora são feitas dentro do Ceresp no município. A iniciativa elimina gastos com deslocamento de veículos e o empenho de até oito agentes penitenciários neste tipo de ação. Confira  https://goo.gl/iGGdH7  #Economia #Parceria #Judiciário  Foto: Omar Freire / Imprensa MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14590411_1338752286177698_3270688975906723813_n.png?oh=26d8e2f5c6461bfb805d40aa795a42c0&oe=591110D2	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14590411_1338752286177698_3270688975906723813_n.png?oh=0623e22c04e4bca252650ba48f35533c&oe=5905B9C7	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1338752286177698/?type=3	facebook.com	2016-10-19T16:00:01+0000	1476892801	2016-10-19 18:00:01	17	28	19	2	49	23	23	0	41	0	16	1	0	0	0	1	0
photo	post_page_416907625028840	416907625028840_1337840402935553	https://www.facebook.com/416907625028840/posts/1337840402935553	Iniciativas que garantem economia de recursos naturais são sempre bem-vindas.🌻 💦⚡️  Em Claro dos Poções  o agricultor Manoel Marcos  seu Netinho como é conhecido  reduziu em mais de 80% o consumo de água e energia. Conheça o projeto por ele adotado  com o apoio da Emater-MG  que garantiu a utilização racional dos recursos naturais na plantação. https://goo.gl/PUCC29  #EmaterMG #AgriculturaFamiliar #BomExemplo  Foto: Divulgação / Emater-MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14716328_1337840402935553_4397487777324312441_n.jpg?oh=a1e1c0e750467c2082d9d20f2c73f237&oe=591679E3	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14716328_1337840402935553_4397487777324312441_n.jpg?oh=d22993e4a48444b001d0a52a5c409e02&oe=590D25F6	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1337840402935553/?type=3	facebook.com	2016-10-19T10:15:00+0000	1476872100	2016-10-19 12:15:00	38	31	38	7	76	25	25	0	31	0	37	0	0	0	0	0	0
photo	post_page_416907625028840	416907625028840_1337838466269080	https://www.facebook.com/416907625028840/posts/1337838466269080	A transparência está garantida na seleção e aprovação de propostas aos editais de fomento à produção cinematográfica mineira. 🎬🌟  Além da realização de consulta pública na elaboração de editais  o Governo de Minas Gerais garantirá a participação de profissionais do setor audiovisual nas comissões julgadoras. É profissional do setor audiovisual? Saiba como participar: https://goo.gl/5mSr3g  #AudioVisual #Fomento #Codemig   Foto: Acervo / Setur MG	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14656281_1337838466269080_4105299031855165411_n.png?oh=73dfee5f33fbe4c82a9fef3d57a3fabc&oe=5905F4D8	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14656281_1337838466269080_4105299031855165411_n.png?oh=158f20ade1ed1c434b871228cf6c2843&oe=59021BCD	https://www.facebook.com/governomg/photos/a.417083648344571.107333.416907625028840/1337838466269080/?type=3	facebook.com	2016-10-18T21:15:00+0000	1476825300	2016-10-18 23:15:00	19	29	19	3	51	25	25	0	28	0	18	0	0	0	0	0	0
